Nome: FLORIANOPOLIS
Codigo Estacao: A806
Latitude: -27.60253
Longitude: -48.620096
Altitude: 4.87
Situacao: Operante
Data Inicial: 2003-01-21
Data Final: 2022-06-30
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;null;null;null;
2003-02-28;null;null;null;
2003-03-31;6;null;null;
2003-04-30;10;77.8;22.290655;
2003-05-31;12;47.8;19.412648;
2003-06-30;14;74.8;18.633211;
2003-07-31;13;24.6;17.359662;
2003-08-31;7;11.8;16.467903;
2003-09-30;9;110.2;17.829306;
2003-10-31;10;null;21.155444;
2003-11-30;11;114.2;22.220417;
2003-12-31;16;230.4;23.560083;
2004-01-31;20;334.2;24.279295;
2004-02-29;17;190;24.217704;
2004-03-31;13;185.4;23.279678;
2004-04-30;9;null;null;
2004-05-31;5;null;null;
2004-06-30;10;82.2;17.842262;
2004-07-31;18;84.4;16.452016;
2004-08-31;3;null;null;
2004-09-30;null;null;null;
2004-10-31;null;null;null;
2004-11-30;null;null;null;
2004-12-31;null;null;null;
2005-01-31;null;null;null;
2005-02-28;null;null;null;
2005-03-31;null;null;null;
2005-04-30;null;null;null;
2005-05-31;4;null;null;
2005-06-30;12;30.2;20.263996;
2005-07-31;12;77.4;16.995217;
2005-08-31;9;null;18.670506;
2005-09-30;21;null;17.28453;
2005-10-31;16;196.2;20.685492;
2005-11-30;11;null;22.202885;
2005-12-31;13;92.6;23.198118;
2006-01-31;16;181.4;25.785484;
2006-02-28;16;null;25.073296;
2006-03-31;17;69.6;25.582328;
2006-04-30;8;null;21.803856;
2006-05-31;4;null;18.413367;
2006-06-30;8;null;18.137055;
2006-07-31;6;null;18.619853;
2006-08-31;4;null;null;
2006-09-30;8;46.4;17.821692;
2006-10-31;15;98.8;20.536828;
2006-11-30;18;245.2;21.475779;
2006-12-31;14;74.4;24.592952;
